Region,District,Village
Amhara,LiboKemikem,Berkutae
Amhara,LiboKemikem,Berkutae
Amhara,LiboKemikem,Berkutae
Amhara,LiboKemikem,Berkutae
Amhara,LiboKemikem,Berkutae
Amhara,LiboKemikem,Berkutae
Amhara,LiboKemikem,Berkutae
Amhara,LiboKemikem,Tara gedam
Amhara,LiboKemikem,Tara gedam
Amhara,LiboKemikem,Tara gedam
Amhara,LiboKemikem,Tara gedam
Amhara,LiboKemikem,Tara gedam
Amhara,LiboKemikem,Tara gedam
Amhara,LiboKemikem,Tara gedam
Amhara,LiboKemikem,Tara gedam
Amhara,LiboKemikem,Tara gedam
Amhara,LiboKemikem,Tara gedam
Tigray,Endamekoni,Simret
Tigray,Endamekoni,Simret
Tigray,Endamekoni,Simret
Tigray,Endamekoni,Simret
Tigray,Endamekoni,Simret
Tigray,Samre,AmdiWeyane
Tigray,Samre,AmdiWeyane
Tigray,Samre,AmdiWeyane
Tigray,Samre,AmdiWeyane
Tigray,Samre,AmdiWeyane
Tigray,Samre,AmdiWeyane
Tigray,Samre,AmdiWeyane
Tigray,Samre,AmdiWeyane
Tigray,Samre,AmdiWeyane
Tigray,Samre,AmdiWeyane
Tigray,RayaAzebo,Mechare
Tigray,RayaAzebo,Mechare
Tigray,RayaAzebo,Mechare
Tigray,RayaAzebo,Mechare
Tigray,RayaAzebo,Mechare
Tigray,RayaAzebo,Mechare
Tigray,RayaAzebo,Mechare
Tigray,RayaAzebo,Mechare
Tigray,RayaAzebo,Mechare
Tigray,RayaAzebo,Mechare
Tigray,Alamata,Gerjale
Tigray,Alamata,Gerjale
Tigray,Alamata,Gerjale
Tigray,Alamata,Gerjale
Tigray,Alamata,Gerjale
Tigray,Alamata,Gerjale
Tigray,Alamata,Gerjale
Tigray,Alamata,Gerjale
Tigray,Alamata,Gerjale
Tigray,Alamata,Gerjale
Tigray,Tanqua-Abergele,Tekleweyni
Tigray,Tanqua-Abergele,Tekleweyni
Tigray,Tanqua-Abergele,Tekleweyni
Tigray,Tanqua-Abergele,Tekleweyni
Tigray,Tanqua-Abergele,Tekleweyni
